mes,modulo,estado,filas,pct_fex_c18_faltante,formato_origen
01,hogar_vivienda,OK,24247,0.0,csv
01,caracteristicas_generales,OK,70648,0.0,csv
01,fuerza_trabajo,OK,55738,0.0,csv
01,no_ocupados,OK,26923,0.0,csv
01,ocupados,OK,28815,0.0,csv
01,otras_formas_trabajo,OK,55738,0.0,csv
01,otros_ingresos,OK,55738,0.0,csv
01,migracion,OK,70648,0.0,csv
02,hogar_vivienda,OK,24743,0.0,csv
02,caracteristicas_generales,OK,72148,0.0,csv
02,fuerza_trabajo,OK,56856,0.0,csv
02,no_ocupados,OK,26913,0.0,csv
02,ocupados,OK,29943,0.0,csv
02,otras_formas_trabajo,OK,56856,0.0,csv
02,otros_ingresos,OK,56856,0.0,csv
02,migracion,OK,72148,0.0,csv
03,hogar_vivienda,OK,24647,0.0,csv
03,caracteristicas_generales,OK,70719,0.0,csv
03,fuerza_trabajo,OK,56063,0.0,csv
03,no_ocupados,OK,26425,0.0,csv
03,ocupados,OK,29638,0.0,csv
03,otras_formas_trabajo,OK,56063,0.0,csv
03,otros_ingresos,OK,56063,0.0,csv
03,migracion,OK,70719,0.0,csv
04,hogar_vivienda,OK,24590,0.0,csv
04,caracteristicas_generales,OK,70457,0.0,csv
04,fuerza_trabajo,OK,55696,0.0,csv
04,no_ocupados,OK,25955,0.0,csv
04,ocupados,OK,29741,0.0,csv
04,otras_formas_trabajo,OK,55696,0.0,csv
04,otros_ingresos,OK,55696,0.0,csv
04,migracion,OK,70457,0.0,csv
05,hogar_vivienda,OK,24569,0.0,csv
05,caracteristicas_generales,OK,70188,0.0,csv
05,fuerza_trabajo,OK,55773,0.0,csv
05,no_ocupados,OK,25631,0.0,csv
05,ocupados,OK,30142,0.0,csv
05,otras_formas_trabajo,OK,55773,0.0,csv
05,otros_ingresos,OK,55773,0.0,csv
05,migracion,OK,70188,0.0,csv
06,hogar_vivienda,OK,24373,0.0,csv
06,caracteristicas_generales,OK,70020,0.0,csv
06,fuerza_trabajo,OK,55530,0.0,csv
06,no_ocupados,OK,25605,0.0,csv
06,ocupados,OK,29925,0.0,csv
06,otras_formas_trabajo,OK,55530,0.0,csv
06,otros_ingresos,OK,55530,0.0,csv
06,migracion,OK,70020,0.0,csv
07,hogar_vivienda,OK,24343,0.0,csv
07,caracteristicas_generales,OK,69694,0.0,csv
07,fuerza_trabajo,OK,55038,0.0,csv
07,no_ocupados,OK,25109,0.0,csv
07,ocupados,OK,29929,0.0,csv
07,otras_formas_trabajo,OK,55038,0.0,csv
07,otros_ingresos,OK,55038,0.0,csv
07,migracion,OK,69694,0.0,csv
08,hogar_vivienda,OK,24402,0.0,dta_fallback
08,caracteristicas_generales,OK,69390,0.0,csv
08,fuerza_trabajo,OK,54844,0.0,dta_fallback
08,no_ocupados,OK,24893,0.0,dta_fallback
08,ocupados,OK,29951,0.0,dta_fallback
08,otras_formas_trabajo,OK,54844,0.0,dta_fallback
08,otros_ingresos,OK,54844,0.0,dta_fallback
08,migracion,OK,69390,0.0,dta_fallback
09,hogar_vivienda,OK,24217,0.0,csv
09,caracteristicas_generales,OK,68341,0.0,csv
09,fuerza_trabajo,OK,54228,0.0,csv
09,no_ocupados,OK,24845,0.0,csv
09,ocupados,OK,29383,0.0,csv
09,otras_formas_trabajo,OK,54228,0.0,csv
09,otros_ingresos,OK,54228,0.0,csv
09,migracion,OK,68341,0.0,csv
10,hogar_vivienda,OK,24074,0.0,csv
10,caracteristicas_generales,OK,67216,0.0,csv
10,fuerza_trabajo,OK,53631,0.0,csv
10,no_ocupados,OK,24504,0.0,csv
10,ocupados,OK,29127,0.0,csv
10,otras_formas_trabajo,OK,53631,0.0,csv
10,otros_ingresos,OK,53631,0.0,csv
10,migracion,OK,67216,0.0,csv
11,hogar_vivienda,OK,23694,0.0,csv
11,caracteristicas_generales,OK,66235,0.0,csv
11,fuerza_trabajo,OK,52679,0.0,csv
11,no_ocupados,OK,23755,0.0,csv
11,ocupados,OK,28924,0.0,csv
11,otras_formas_trabajo,OK,52679,0.0,csv
11,otros_ingresos,OK,52679,0.0,csv
11,migracion,OK,66235,0.0,csv
12,hogar_vivienda,OK,23069,0.0,csv
12,caracteristicas_generales,OK,64627,0.0,csv
12,fuerza_trabajo,OK,51727,0.0,csv
12,no_ocupados,OK,23573,0.0,csv
12,ocupados,OK,28154,0.0,csv
12,otras_formas_trabajo,OK,51727,0.0,csv
12,otros_ingresos,OK,51727,0.0,csv
12,migracion,OK,64627,0.0,csv
