mes,n_hogares_muestra,hogares_expandidos,pct_cabecera_ponderado,error_estandar_naive_srs_pct,ic95_bajo_pct,ic95_alto_pct
01,24247,17689295,78.3,0.265,77.78,78.82
02,24743,17728469,78.31,0.262,77.8,78.83
03,24647,17767460,78.33,0.262,77.81,78.84
04,24590,17806236,78.34,0.263,77.82,78.85
05,24569,17844649,78.35,0.263,77.84,78.87
06,24373,17882621,78.36,0.264,77.85,78.88
07,24343,17920330,78.38,0.264,77.86,78.89
08,24402,17958629,78.39,0.263,77.87,78.9
09,24217,18001453,78.4,0.264,77.88,78.92
10,24074,18055945,78.43,0.265,77.91,78.95
11,23694,18085039,78.43,0.267,77.91,78.95
12,23069,18115832,78.43,0.271,77.9,78.96
